ANN_ACC,TYP_EPV,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,COD_AGG,LOC,COD_TYP_CAR_AGG,COD_TYP_CHA,COD_TOP,COD_TYP_CAR_CAM,COD_PRO_LON,COD_TRA_PLA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN
,,,PROVINCE DE OUAZZANE,,,,,FKIH BEN SALAH,,,,,,,,,,,
,,,PROVINCE DE MIDELT,,,,,KASBA TADLA,,,,,,,,,,,
,,,WILAYA DE RABAT-SALE,,,,,SOUK ES SEBT OULAD NEMMA,,,,,,,,,,,
,,,,,,,,ZAOUIA CHEIKH,,,,,,,,,,,
,,,,,,,,OULED AYACHE,,,,,,,,,,,
,,,,,,,,OULED M'BAREK,,,,,,,,,,,
,,,,,,,,SIDI JABEUR,,,,,,,,,,,
,,,,,,,,BEN SLIMANE,,,,,,,,,,,
,,,,,,,,BOUZNIKA,,,,,,,,,,,
,,,,,,,,BIR ENNASR,,,,,,,,,,,
,,,,,,,,MELLILA,,,,,,,,,,,
,,,,,,,,JEMAA FEDALATE,,,,,,,,,,,
,,,,,,,,SIDI BETTACHE,,,,,,,,,,,
,,,,,,,,TLAT ZIAIDA,,,,,,,,,,,
,,,,,,,,OULED ZIANE,,,,,,,,,,,
,,,,,,,,BOULEMANE,,,,,,,,,,,
,,,,,,,,IMOUZZER DES MARMOUCHA,,,,,,,,,,,
,,,,,,,,MISSOUR,,,,,,,,,,,
,,,,,,,,OUTAT EL HAJ,,,,,,,,,,,
,,,,,,,,ALMIS GUIGOU,,,,,,,,,,,
,,,,,,,,ENJIL,,,,,,,,,,,
,,,,,,,,SEKOURA,,,,,,,,,,,
,,,,,,,,TENDITE,,,,,,,,,,,
,,,,,,,,KSABI,,,,,,,,,,,
,,,,,,,,BOUJDOUR,,,,,,,,,,,
,,,,,,,,BIR ANZARANE,,,,,,,,,,,
,,,,,,,,D OIED KRAA,,,,,,,,,,,
,,,,,,,,SIDI EL GHAZI,,,,,,,,,,,
,,,,,,,,RMILA( OULAD MALLOUK ),,,,,,,,,,,
,,,,,,,,S/BOUTAYEB(OULAD BOUKHALFA),,,,,,,,,,,
,,,,,,,,BIR GUENDOUZ ,,,,,,,,,,,
,,,,,,,,TICHLA,,,,,,,,,,,
,,,,,,,,LABOUIRDA,,,,,,,,,,,
,,,,,,,,BAB BERRED,,,,,,,,,,,
,,,,,,,,BNI AHMED,,,,,,,,,,,
,,,,,,,,CHEFCHAOUEN,,,,,,,,,,,
,,,,,,,,HAD GHDIR LAKROUCH,,,,,,,,,,,
,,,,,,,,JEBHA,,,,,,,,,,,
,,,,,,,,STEHA,,,,,,,,,,,
,,,,,,,,ZOUMI,,,,,,,,,,,
,,,,,,,,BAB TAZA,,,,,,,,,,,
,,,,,,,,BOU AHMED,,,,,,,,,,,
,,,,,,,,BNI RZINE,,,,,,,,,,,
,,,,,,,,AZEMMOUR,,,,,,,,,,,
,,,,,,,,BIR JDID,,,,,,,,,,,
,,,,,,,,EL AOUNATE,,,,,,,,,,,
,,,,,,,,EL JADIDA,,,,,,,,,,,
,,,,,,,,EL HAOUZIA,,,,,,,,,,,
,,,,,,,,KHMIS  ZEMAMRA,,,,,,,,,,,
,,,,,,,,OUALIDIYA,,,,,,,,,,,
,,,,,,,,OULED FREJ,,,,,,,,,,,
,,,,,,,,SIDI BENNOUR,,,,,,,,,,,
