ANN_ACC,TYP_EPV,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,COD_AGG,LOC,COD_TYP_CAR_AGG,COD_TYP_CHA,COD_TOP,COD_TYP_CAR_CAM,COD_PRO_LON,COD_TRA_PLA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN
,,,,,,,,TIGHMI,,,,,,,,,,,
,,,,,,,,TLAT LAKHSASS,,,,,,,,,,,
,,,,,,,,HAD TAHALA,,,,,,,,,,,
,,,,,,,,DAKHLA,,,,,,,,,,,
,,,,,,,,AL ARGOUB,,,,,,,,,,,
,,,,,,,,AARICH,,,,,,,,,,,
,,,,,,,,PUNTA CHICA,,,,,,,,,,,
,,,,,,,,CENTRE BIR GUENDOZ,,,,,,,,,,,
,,,,,,,,AZROU,,,,,,,,,,,
,,,,,,,,FOUM LABOUIR,,,,,,,,,,,
,,,,,,,,IFRANE,,,,,,,,,,,
,,,,,,,,AIN LEUH,,,,,,,,,,,
,,,,,,,,AGADIR IDA OUTANANE,,,,,,,,,,,
,,,,,,,,TIMAHDITE,,,,,,,,,,,
,,,,,,,,TIKIOUINE,,,,,,,,,,,
,,,,,,,,SIDI ADDI,,,,,,,,,,,
,,,,,,,,BEN SERGAOU,,,,,,,,,,,
,,,,,,,,SIDI EL MEKHFI,,,,,,,,,,,
,,,,,,,,TAMZARGOUT,,,,,,,,,,,
,,,,,,,,OUED IFRANE,,,,,,,,,,,
,,,,,,,,IMOUZER,,,,,,,,,,,
,,,,,,,,TAGHAZOUT,,,,,,,,,,,
,,,,,,,,DAYT AOUA,,,,,,,,,,,
,,,,,,,,TAMRI,,,,,,,,,,,
,,,,,,,,AOURIR,,,,,,,,,,,
,,,,,,,,DRARGA,,,,,,,,,,,
,,,,,,,,CITE SONTY SONABA,,,,,,,,,,,
,,,,,,,,KSAR EL KEBIR,,,,,,,,,,,
,,,,,,,,SEFROU,,,,,,,,,,,
,,,,,,,,LARACHE,,,,,,,,,,,
,,,,,,,,IMOUZER KANDAR,,,,,,,,,,,
,,,,,,,,BENI GARFETT,,,,,,,,,,,
,,,,,,,,BHALIL,,,,,,,,,,,
,,,,,,,,EL AOUAMRA,,,,,,,,,,,
,,,,,,,,EL MANZEL,,,,,,,,,,,
,,,,,,,,RISSANA,,,,,,,,,,,
,,,,,,,,RIBAT AL KHEIR,,,,,,,,,,,
,,,,,,,,AIN CHGAG,,,,,,,,,,,
,,,,,,,,LAMZANDA,,,,,,,,,,,
,,,,,,,,TATOFT,,,,,,,,,,,
,,,,,,,,KHMISS SAHEL,,,,,,,,,,,
,,,,,,,,TOUAMA,,,,,,,,,,,
,,,,,,,,BENI ARROUSS,,,,,,,,,,,
,,,,,,,,OULAD YAAGOUB ,,,,,,,,,,,
,,,,,,,,PONT TASSAOUT(RAFIYA ),,,,,,,,,,,
,,,,,,,,BNI OUKIL,,,,,,,,,,,
,,,,,,,,EL HAOUZ,,,,,,,,,,,
,,,,,,,,AIT OURIR,,,,,,,,,,,
,,,,,,,,OULED AYAD,,,,,,,,,,,
,,,,,,,,GMATE,,,,,,,,,,,
,,,,,,,,ARHBALA,,,,,,,,,,,
,,,,,,,,ASNI,,,,,,,,,,,
,,,,,,,,HAD OULED BOUMOUSSA,,,,,,,,,,,
,,,,,,,,AZGOUR,,,,,,,,,,,
,,,,,,,,HAD BRADIA,,,,,,,,,,,
,,,,,,,,TAHANAOUT,,,,,,,,,,,
,,,,,,,,SIDI AISSA,,,,,,,,,,,
,,,,,,,,AMEZMIZ,,,,,,,,,,,
,,,,,,,,OULED ZMAM,,,,,,,,,,,
,,,,,,,,OURIKA,,,,,,,,,,,
,,,,,,,,TAGHZIRTE,,,,,,,,,,,
,,,,,,,,TAMSLOHT,,,,,,,,,,,
,,,,,,,,OULED SAID EL OUED,,,,,,,,,,,
,,,,,,,,TIGHDOUINE,,,,,,,,,,,
,,,,,,,,FOUM EL ANSER,,,,,,,,,,,
,,,,,,,,OULED ABDELLAH,,,,,,,,,,,
,,,,,,,,ASSA,,,,,,,,,,,
,,,,,,,,OULED YOUSSEF,,,,,,,,,,,
,,,,,,,,ZAG,,,,,,,,,,,
,,,,,,,,OULED BOUAAZZA,,,,,,,,,,,
,,,,,,,,GHROM LAALAM,,,,,,,,,,,
,,,,,,,,BENI CHEGDAL ,,,,,,,,,,,
,,,,,,,,TANOUGHA,,,,,,,,,,,
,,,,,,,,LAHMADNA,,,,,,,,,,,
,,,,,,,,LAMHARRA,,,,,,,,,,,
,,,,,,,,LAMZEM,,,,,,,,,,,
,,,,,,,,LOUNASDA,,,,,,,,,,,
,,,,,,,,JAMAAT OULED GHANME,,,,,,,,,,,
,,,,,,,,CHTOUKA,,,,,,,,,,,
,,,,,,,,INEZGANE,,,,,,,,,,,
,,,,,,,,AIT MELLOUL,,,,,,,,,,,
,,,,,,,,EL KOLEA,,,,,,,,,,,
,,,,,,,,TEMSIA,,,,,,,,,,,
,,,,,,,,AIT BAHA,,,,,,,,,,,
,,,,,,,,DCHEIRA,,,,,,,,,,,
,,,,,,,,MASSA,,,,,,,,,,,
,,,,,,,,KHMIS AIT AMIRA,,,,,,,,,,,
,,,,,,,,BELFAA,,,,,,,,,,,
,,,,,,,,IGHREM,,,,,,,,,,,
,,,,,,,,TARRAST,,,,,,,,,,,
,,,,,,,,AIT YAZZA,,,,,,,,,,,
,,,,,,,,JORF,,,,,,,,,,,
,,,,,,,,OUZIOUA,,,,,,,,,,,
,,,,,,,,SIDI BIBI,,,,,,,,,,,
,,,,,,,,SIDI OUAAZIZ,,,,,,,,,,,
,,,,,,,,BIOUGRA,,,,,,,,,,,
,,,,,,,,MARBOUH,,,,,,,,,,,
,,,,,,,,NZALT LAADAM,,,,,,,,,,,
,,,,,,,,AIT BLAL,,,,,,,,,,,
,,,,,,,,AIT BOUALI,,,,,,,,,,,
,,,,,,,,AIT OUKABLI,,,,,,,,,,,
,,,,,,,,AIT TAMLIL,,,,,,,,,,,
,,,,,,,,SIDI MOUSSA,,,,,,,,,,,
,,,,,,,,CR SIDI TAHAR (OULED MSAFER),,,,,,,,,,,
,,,,,,,,ZGMOUZEN,,,,,,,,,,,
,,,,,,,,TAMZAOURT,,,,,,,,,,,
,,,,,,,,IMIN IFRI,,,,,,,,,,,
,,,,,,,,OUAOULA,,,,,,,,,,,
,,,,,,,,SGAT,,,,,,,,,,,
,,,,,,,,SIDI YAAGOUB,,,,,,,,,,,
,,,,,,,,TABANT,,,,,,,,,,,
,,,,,,,,TIFERT NAIT HAMZA,,,,,,,,,,,
,,,,,,,,TAMASSINT,,,,,,,,,,,
,,,,,,,,NEKKOUR,,,,,,,,,,,
,,,,,,,,BENI ABDELLAH,,,,,,,,,,,
,,,,,,,,TILOUGHITE,,,,,,,,,,,
,,,,,,,,AIT KAMARA,,,,,,,,,,,
,,,,,,,,IZEMMOUREN,,,,,,,,,,,
,,,,,,,,AIT YOUSSEF OU ALI,,,,,,,,,,,
,,,,,,,,LARBAA TAOURIRT,,,,,,,,,,,
,,,,,,,,TIMOULILTE,,,,,,,,,,,
,,,,,,,,LARBAA SNADA,,,,,,,,,,,
,,,,,,,,ROUADI,,,,,,,,,,,
,,,,,,,,TIKZIRETTE,,,,,,,,,,,
,,,,,,,,IMOUGZEN,,,,,,,,,,,
,,,,,,,,CENTRE IKAOUENE,,,,,,,,,,,
,,,,,,,,TISLIT,,,,,,,,,,,
,,,,,,,,FOUM JAMAA,,,,,,,,,,,
,,,,,,,,AIT M'HAMED,,,,,,,,,,,
,,,,,,,,TAGLEFT,,,,,,,,,,,
,,,,,,,,CENTRE BENI AYAT,,,,,,,,,,,
,,,,,,,,OUZOUD,,,,,,,,,,,
,,,,,,,,ASSIFANE,,,,,,,,,,,
,,,,,,,,AIN DIAB,,,,,,,,,,,
,,,,,,,,SEBT AL MZELHA,,,,,,,,,,,
,,,,,,,,AIN HARROUDA,,,,,,,,,,,
,,,,,,,,BOUSKOURA,,,,,,,,,,,
,,,,,,,,CASABLANCA,,,,,,,,,,,
,,,,,,,,NOUACEUR,,,,,,,,,,,
,,,,,,,,AIN SBAA HAY EL MOHAMMADI,,,,,,,,,,,
,,,,,,,,AIN CHOK HAY EL HASSANI,,,,,,,,,,,
,,,,,,,,BEN-M'SIK-SIDI OTHMANE,,,,,,,,,,,
,,,,,,,,MEDIOUNA,,,,,,,,,,,
,,,,,,,,MOHAMMADIA ZENATA,,,,,,,,,,,
,,,,,,,,SIDI MAAROUF,,,,,,,,,,,
,,,,,,,,TIT MELLIL,,,,,,,,,,,
,,,,,,,,SIDI MESSAOUD,,,,,,,,,,,
,,,,,,,,EL FIDA DERB SOULTAN,,,,,,,,,,,
,,,,,,,,AHL LAGHLAM,,,,,,,,,,,
,,,,,,,,OULED TALEB,,,,,,,,,,,
,,,,,,,,DAR  BOUAAZA,,,,,,,,,,,
,,,,,,,,CASA PORT MARITIME,,,,,,,,,,,
,,,,,,,,OULED AZZOUZ,,,,,,,,,,,
,,,,,,,,LAHRAOUYINE,,,,,,,,,,,
,,,,,,,,BENI YAKHLEF,,,,,,,,,,,
,,,,,,,,MEKANSA,,,,,,,,,,,
,,,,,,,,SIDI MOUSSA BEN ALI,,,,,,,,,,,
,,,,,,,,ECHELLALATE,,,,,,,,,,,
,,,,,,,,SIDI MOUSSA  ALMAJDOUB,,,,,,,,,,,
,,,,,,,,ERRAHMA,,,,,,,,,,,
,,,,,,,,OULAD SALAH,,,,,,,,,,,
,,,,,,,,LAATAMNA,,,,,,,,,,,
,,,,,,,,LABRIKIYINE,,,,,,,,,,,
,,,,,,,,OULED AMRANE,,,,,,,,,,,
,,,,,,,,OULED HAMDANE,,,,,,,,,,,
,,,,,,,,BENI HLAL,,,,,,,,,,,
,,,,,,,,SIDI ALI,,,,,,,,,,,
,,,,,,,,SEBT SAISS,,,,,,,,,,,
,,,,,,,,CHTOUKA,,,,,,,,,,,
,,,,,,,,KHMIS METTOUH,,,,,,,,,,,
,,,,,,,,SIDI ALI BEN HAMDOUCHE,,,,,,,,,,,
,,,,,,,,OULED SBIT,,,,,,,,,,,
,,,,,,,,BOULAAOUANE,,,,,,,,,,,
,,,,,,,,OULED BOUAZIA (RGAGDA Od GHANE,,,,,,,,,,,
,,,,,,,,SIDI DRISS,,,,,,,,,,,
,,,,,,,,SANIAT BERGUIG,,,,,,,,,,,
,,,,,,,,SAHRIJ,,,,,,,,,,,
,,,,,,,,DOUAR LOUTA (CR LAGDIRA),,,,,,,,,,,
,,,,,,,,HAD FREITA,,,,,,,,,,,
,,,,,,,,DOUAR AL KAID,,,,,,,,,,,
,,,,,,,,OUARGUI,,,,,,,,,,,
,,,,,,,,OULED HSSINE,,,,,,,,,,,
,,,,,,,,OULED MSSABEL,,,,,,,,,,,
,,,,,,,,DOUAR OULAD GHOUALMA,,,,,,,,,,,
,,,,,,,,DOUAR AARFA LOTA,,,,,,,,,,,
,,,,,,,,DOUAR OULAD BEN HAMMOU SIDI AB,,,,,,,,,,,
,,,,,,,,SEBT DOUIEB,,,,,,,,,,,
,,,,,,,,CENTRE DOUAR EL HAJAJ,,,,,,,,,,,
,,,,,,,,ARBAA CHTOUKA,,,,,,,,,,,
,,,,,,,,BIR BABOUCHE,,,,,,,,,,,
,,,,,,,,BIR LAHRACH,,,,,,,,,,,
,,,,,,,,BNI TSIRIS,,,,,,,,,,,
,,,,,,,,MESKALA,,,,,,,,,,,
,,,,,,,,BOUALALA,,,,,,,,,,,
,,,,,,,,BOUHMANE,,,,,,,,,,,
,,,,,,,,CHAAIBAT,,,,,,,,,,,
,,,,,,,,CHLEUHA,,,,,,,,,,,
,,,,,,,,CHROUA,,,,,,,,,,,
,,,,,,,,EL AMRIA,,,,,,,,,,,
,,,,,,,,EL AZZABA,,,,,,,,,,,
,,,,,,,,EL HARATE,,,,,,,,,,,
,,,,,,,,EL MECHREK,,,,,,,,,,,
,,,,,,,,HAD EL AOUNATE,,,,,,,,,,,
,,,,,,,,KOUDIAT LAGHOUALEME,,,,,,,,,,,
,,,,,,,,KRIDID,,,,,,,,,,,
,,,,,,,,KSSIBA,,,,,,,,,,,
,,,,,,,,LAABADLA,,,,,,,,,,,
,,,,,,,,LAATATRA,,,,,,,,,,,
,,,,,,,,LABRAGA,,,,,,,,,,,
,,,,,,,,LAFOUARES,,,,,,,,,,,
,,,,,,,,LAGAABRA,,,,,,,,,,,
,,,,,,,,LAGRICHATE,,,,,,,,,,,
,,,,,,,,LAHGAGCHA,,,,,,,,,,,
,,,,,,,,LAKNADRA,,,,,,,,,,,
,,,,,,,,LAKROUA ,,,,,,,,,,,
,,,,,,,,LAMLALHA,,,,,,,,,,,
,,,,,,,,LAMNAKRA,,,,,,,,,,,
,,,,,,,,NOUAAMA,,,,,,,,,,,
,,,,,,,,OULAD ABDELLAH,,,,,,,,,,,
,,,,,,,,OULAD ALLOU,,,,,,,,,,,
,,,,,,,,OULAD BENCHAOUI,,,,,,,,,,,
,,,,,,,,OULAD BOUANANE,,,,,,,,,,,
,,,,,,,,OULAD BOUARAARA,,,,,,,,,,,
,,,,,,,,OULAD BOUSSAKENE,,,,,,,,,,,
,,,,,,,,OULAD EL AOUNI,,,,,,,,,,,
,,,,,,,,OULAD SALLAM,,,,,,,,,,,
,,,,,,,,OULAD SI BOUHYA,,,,,,,,,,,
,,,,,,,,OULAD SLIMANE,,,,,,,,,,,
,,,,,,,,SIDI ABED,,,,,,,,,,,
,,,,,,,,SLAHMA,,,,,,,,,,,
,,,,,,,,TAMDA,,,,,,,,,,,
,,,,,,,,TOUILATE,,,,,,,,,,,
,,,,,,,,ZAOUIAT SAIS,,,,,,,,,,,
,,,,,,,,ZEMRANE,,,,,,,,,,,
,,,,,,,,ZOUINATE,,,,,,,,,,,
,,,,,,,,AIT TALEB ,,,,,,,,,,,
,,,,,,,,DACHRA,,,,,,,,,,,
,,,,,,,,JAAIDATE,,,,,,,,,,,
,,,,,,,,JEMAA LAARARCHA,,,,,,,,,,,
,,,,,,,,TEMARA PLAGE,,,,,,,,,,,
,,,,,,,,AIN EL AOUDA,,,,,,,,,,,
,,,,,,,,BOUKNADEL,,,,,,,,,,,
,,,,,,,,RABAT,,,,,,,,,,,
,,,,,,,,SALE,,,,,,,,,,,
,,,,,,,,SKHIRAT,,,,,,,,,,,
,,,,,,,,SHOUL,,,,,,,,,,,
,,,,,,,,TEMARA,,,,,,,,,,,
,,,,,,,,SIDI YAHIA ZAERS,,,,,,,,,,,
,,,,,,,,MECHOIR,,,,,,,,,,,
,,,,,,,,EL ARJATE,,,,,,,,,,,
,,,,,,,,SIDI BRAHIM,,,,,,,,,,,
,,,,,,,,LAAYAYDA,,,,,,,,,,,
,,,,,,,,SALA EL JADIDA,,,,,,,,,,,
,,,,,,,,MERS EL KHEIR,,,,,,,,,,,
,,,,,,,,SEBBAH,,,,,,,,,,,
,,,,,,,,AIN EL HAYAT,,,,,,,,,,,
,,,,,,,,HARHOURA,,,,,,,,,,,
,,,,,,,,LAGHOUAZI,,,,,,,,,,,
,,,,,,,,TAMESNA,,,,,,,,,,,
,,,,,,,,EL MENZEH,,,,,,,,,,,
,,,,,,,,SIDI AISSA BEN SLIMANE ,,,,,,,,,,,
,,,,,,,,ADAGHASSE,,,,,,,,,,,
,,,,,,,,AGLIF,,,,,,,,,,,
,,,,,,,,AIN LAHJAR,,,,,,,,,,,
,,,,,,,,AIT AISSI,,,,,,,,,,,
,,,,,,,,AIT IDER,,,,,,,,,,,
,,,,,,,,AIT ZELTEN,,,,,,,,,,,
,,,,,,,,AQARMOUD,,,,,,,,,,,
,,,,,,,,ARTNAN,,,,,,,,,,,
,,,,,,,,ASSAIS,,,,,,,,,,,
,,,,,,,,BARAKAT KHIZOU,,,,,,,,,,,
,,,,,,,,BHAIBAH,,,,,,,,,,,
,,,,,,,,BHAT,,,,,,,,,,,
,,,,,,,,BIRKOUAT,,,,,,,,,,,
,,,,,,,,BOUZEMOUR,,,,,,,,,,,
,,,,,,,,EL GHAZOUA,,,,,,,,,,,
,,,,,,,,IDA OUAZZA,,,,,,,,,,,
,,,,,,,,IDA OUGUELLOU,,,,,,,,,,,
,,,,,,,,IDA OUZEMZEM,,,,,,,,,,,
,,,,,,,,IMINTLIT,,,,,,,,,,,
,,,,,,,,JAMAA SIDI LAAROUSSI ,,,,,,,,,,,
,,,,,,,,KRAYM,,,,,,,,,,,
,,,,,,,,LAMOUARID,,,,,,,,,,,
,,,,,,,,MEJI,,,,,,,,,,,
,,,,,,,,MKHALIF,,,,,,,,,,,
,,,,,,,,MY BOUZERKTOUN,,,,,,,,,,,
,,,,,,,,NAIRATE ,,,,,,,,,,,
,,,,,,,,ORTOFELAH,,,,,,,,,,,
,,,,,,,,OULAD MRABET,,,,,,,,,,,
,,,,,,,,OUM LAAYOUNE,,,,,,,,,,,
,,,,,,,,SIDI ABDELJALIL,,,,,,,,,,,
,,,,,,,,SIDI AHMED OUHMED,,,,,,,,,,,
,,,,,,,,SIDI AHMED OUMARZOUK ,,,,,,,,,,,
,,,,,,,,SIDI AHMED OUMBAREK,,,,,,,,,,,
,,,,,,,,SIDI ALI KOURATI,,,,,,,,,,,
,,,,,,,,SIDI BOULAALAM,,,,,,,,,,,
,,,,,,,,SIDI EL JAZOULI ,,,,,,,,,,,
,,,,,,,,SIDI ISHAQ,,,,,,,,,,,
,,,,,,,,SIDI KAOUKI,,,,,,,,,,,
,,,,,,,,TAFDNA,,,,,,,,,,,
,,,,,,,,TAHLOUANT,,,,,,,,,,,
,,,,,,,,TAKOUCHT ,,,,,,,,,,,
,,,,,,,,TALOUNJA,,,,,,,,,,,
,,,,,,,,TIDZI,,,,,,,,,,,
,,,,,,,,TIMZGUIDA OUFTAS,,,,,,,,,,,
,,,,,,,,BAGARA,,,,,,,,,,,
,,,,,,,,BAHARA OULAD AYAD,,,,,,,,,,,
,,,,,,,,CHOUAFAA,,,,,,,,,,,
,,,,,,,,DAR JDIDA,,,,,,,,,,,
,,,,,,,,DLALHA,,,,,,,,,,,
,,,,,,,,EL MOGRANE,,,,,,,,,,,
,,,,,,,,HAD OULAD JELLOUL,,,,,,,,,,,
,,,,,,,,KARIAT BEN AOUDA,,,,,,,,,,,
,,,,,,,,LAABIYATE,,,,,,,,,,,
,,,,,,,,LAANABSA,,,,,,,,,,,
,,,,,,,,LAGURINATE,,,,,,,,,,,
,,,,,,,,LAKHDADRA,,,,,,,,,,,
,,,,,,,,LALLA YATO,,,,,,,,,,,
,,,,,,,,LHIMRIYINE,,,,,,,,,,,
,,,,,,,,LALLA MIMOUNA,,,,,,,,,,,
,,,,,,,,SIDI BOUBKER EL HAJ,,,,,,,,,,,
,,,,,,,,SIDI MOHAMMED LAHMAR,,,,,,,,,,,
,,,,,,,,CENTRE LHLALFA,,,,,,,,,,,
,,,,,,,,MRASDA,,,,,,,,,,,
,,,,,,,,NBIGATE,,,,,,,,,,,
,,,,,,,,OULAD BOUTABET,,,,,,,,,,,
,,,,,,,,OULAD HMID,,,,,,,,,,,
,,,,,,,,OULAD MASBAH,,,,,,,,,,,
,,,,,,,,RZAZKA ,,,,,,,,,,,
,,,,,,,,KHENICHET,,,,,,,,,,,
,,,,,,,,ZIRARA,,,,,,,,,,,
,,,,,,,,SIDI RADOUANE,,,,,,,,,,,
,,,,,,,,SIDI AMEUR EL HADI,,,,,,,,,,,
,,,,,,,,ZAGGOTA,,,,,,,,,,,
,,,,,,,,MESMOUDA,,,,,,,,,,,
,,,,,,,,DOUAR LAKHRATE KAIDA LHOUAFATE,,,,,,,,,,,
,,,,,,,,AIN DFALI,,,,,,,,,,,
,,,,,,,,BIR TALEB HAD TEKNA,,,,,,,,,,,
,,,,,,,,SIDI ABDELAZIZ,,,,,,,,,,,
,,,,,,,,TISSANE,,,,,,,,,,,
,,,,,,,,TOUIRFA,,,,,,,,,,,
,,,,,,,,ZHANA,,,,,,,,,,,
,,,,,,,,BELI QOLLA,,,,,,,,,,,
,,,,,,,,BELI QOLLA,,,,,,,,,,,
,,,,,,,,BENI OUAL,,,,,,,,,,,
,,,,,,,,BIB TIOUKA,,,,,,,,,,,
,,,,,,,,CHBANAT,,,,,,,,,,,
,,,,,,,,DAR EL ASLOUJI ,,,,,,,,,,,
,,,,,,,,LAMRABIH,,,,,,,,,,,
,,,,,,,,M ZEFROUNE,,,,,,,,,,,
,,,,,,,,NOUIRAT,,,,,,,,,,,
,,,,,,,,OULAD NOUAL,,,,,,,,,,,
,,,,,,,,RMILA,,,,,,,,,,,
,,,,,,,,SAFSAF,,,,,,,,,,,
,,,,,,,,SELFFAT,,,,,,,,,,,
,,,,,,,,TIGHASSALINE,,,,,,,,,,,
,,,,,,,,OUAOUMANA,,,,,,,,,,,
,,,,,,,,KERROUCHEN,,,,,,,,,,,
,,,,,,,,SIDI YAHIA OU SAAD,,,,,,,,,,,
,,,,,,,,HAD BOUHSOUSSEN,,,,,,,,,,,
,,,,,,,,HAD LAGHOUALEM,,,,,,,,,,,
,,,,,,,,AIT MELK,,,,,,,,,,,
,,,,,,,,JEMAA MOUL BLAD,,,,,,,,,,,
,,,,,,,,KHMIS SIDI YAHYA,,,,,,,,,,,
,,,,,,,,SFASSIF,,,,,,,,,,,
,,,,,,,,TIFRIT AIT BOUGINAL,,,,,,,,,,,
,,,,,,,,MEJJAT,,,,,,,,,,,
,,,,,,,,TNINE AIT OURBEL,,,,,,,,,,,
,,,,,,,,CENTRE SIDI ABDERRAZAK,,,,,,,,,,,
,,,,,,,,SIDI ZOUINE,,,,,,,,,,,
,,,,,,,,MAJMAAT TOLBA,,,,,,,,,,,
,,,,,,,,M QUAM TOLBA,,,,,,,,,,,
,,,,,,,,HAD OULED FENNANE,,,,,,,,,,,
,,,,,,,,BENI BATAOU,,,,,,,,,,,
,,,,,,,,OULED BOUGHADI,,,,,,,,,,,
,,,,,,,,AIT HANI,,,,,,,,,,,
,,,,,,,,BIR MEZOUI,,,,,,,,,,,
,,,,,,,,JORF,,,,,,,,,,,
,,,,,,,,ASSOUL,,,,,,,,,,,
,,,,,,,,AIT AMAR,,,,,,,,,,,
,,,,,,,,LAAMAMRA,,,,,,,,,,,
,,,,,,,,MELAAB,,,,,,,,,,,
,,,,,,,,CENTRE LAGNADIZ,,,,,,,,,,,
,,,,,,,,ALNIF,,,,,,,,,,,
,,,,,,,,GOURRAMA,,,,,,,,,,,
,,,,,,,,CENTRE AIN KAICHA,,,,,,,,,,,
,,,,,,,,TADIGHOUST,,,,,,,,,,,
,,,,,,,,MOULAY BRAHIM,,,,,,,,,,,
,,,,,,,,MZOUDA,,,,,,,,,,,
,,,,,,,,OULED HASSOUNE,,,,,,,,,,,
,,,,,,,,OULAD AYYAD,,,,,,,,,,,
,,,,,,,,TALAT N YACOUB,,,,,,,,,,,
,,,,,,,,AIN CHEQEF,,,,,,,,,,,
,,,,,,,,RAS EL MA,,,,,,,,,,,
,,,,,,,,SIDI EL KAMEL,,,,,,,,,,,
,,,,,,,,LOUADAINE,,,,,,,,,,,
,,,,,,,,LAAJAJRA,,,,,,,,,,,
,,,,,,,,AIN ALLAH,,,,,,,,,,,
,,,,,,,,SIDI MHAMED CHELH,,,,,,,,,,,
,,,,,,,,AGHBALOU,,,,,,,,,,,
,,,,,,,,SEBT AIT RAHOU,,,,,,,,,,,
,,,,,,,,HARBIL,,,,,,,,,,,
,,,,,,,,DRIRANE,,,,,,,,,,,
,,,,,,,,AGOURAI,,,,,,,,,,,
,,,,,,,,TNINE M'HAYA,,,,,,,,,,,
,,,,,,,,TOULAL,,,,,,,,,,,
,,,,,,,,SEBT JAHJOUH,,,,,,,,,,,
,,,,,,,,OUISLANE,,,,,,,,,,,
,,,,,,,,OUED JDIDA,,,,,,,,,,,
,,,,,,,,DAR OUM SOLTANE,,,,,,,,,,,
,,,,,,,,FEZNA,,,,,,,,,,,
,,,,,,,,DKHISSA,,,,,,,,,,,
,,,,,,,,AIT BOUBIDMANE,,,,,,,,,,,
,,,,,,,,MOULAY BOUAAZZA,,,,,,,,,,,
,,,,,,,,CENTRE AIT OUALLAL BITIT,,,,,,,,,,,
,,,,,,,,AIT HAMMOU OURAHOU,,,,,,,,,,,
,,,,,,,,DOUAR SDI ABDELLAH,,,,,,,,,,,
,,,,,,,,MAJJAT,,,,,,,,,,,
,,,,,,,,TAOUGHILT,,,,,,,,,,,
,,,,,,,,TECKNA,,,,,,,,,,,
,,,,,,,,ZGHIRA,,,,,,,,,,,
,,,,,,,,SIDI AZZOUZ,,,,,,,,,,,
,,,,,,,,SIDI BOUSBER ,,,,,,,,,,,
,,,,,,,,BENI ZRANTEL,,,,,,,,,,,
,,,,,,,,BOUKHRISS,,,,,,,,,,,
,,,,,,,,CHOUGRANE,,,,,,,,,,,
,,,,,,,,FOKRA,,,,,,,,,,,
,,,,,,,,KASBAT TORCH,,,,,,,,,,,
,,,,,,,,MFASSIS,,,,,,,,,,,
,,,,,,,,OULAD AZZOUZ,,,,,,,,,,,
,,,,,,,,ROUACHED,,,,,,,,,,,
,,,,,,,,TACHRAFT,,,,,,,,,,,
,,,,,,,,KSAR EL MAJAZ,,,,,,,,,,,
,,,,,,,,AIT OUBELLI,,,,,,,,,,,
,,,,,,,,AKKA IGNEN ,,,,,,,,,,,
,,,,,,,,AKKA IGUERN,,,,,,,,,,,
,,,,,,,,ALLOUGOUME,,,,,,,,,,,
,,,,,,,,BEN YAACOUB,,,,,,,,,,,
,,,,,,,,IMITEK,,,,,,,,,,,
,,,,,,,,OUM EL GUERDANE ,,,,,,,,,,,
,,,,,,,,TAMANARTE,,,,,,,,,,,
,,,,,,,,TIZGUI IDAOBALOUL,,,,,,,,,,,
,,,,,,,,TOUZOUNINE ,,,,,,,,,,,
,,,,,,,,AIT OUAMAR OU ALI,,,,,,,,,,,
,,,,,,,,AIT YAHYA OU ALA,,,,,,,,,,,
,,,,,,,,OUGMESS,,,,,,,,,,,
,,,,,,,,SEBT AIN LAHNACH ,,,,,,,,,,,
,,,,,,,,ZAOUIAT SIDI ABDESLAM,,,,,,,,,,,
,,,,,,,,AYACHA,,,,,,,,,,,
,,,,,,,,BOUJEDIANE,,,,,,,,,,,
,,,,,,,,KSAR B JIR,,,,,,,,,,,
,,,,,,,,OULED OUCHIH,,,,,,,,,,,
,,,,,,,,QOLLA,,,,,,,,,,,
,,,,,,,,RISSANA SUD,,,,,,,,,,,
,,,,,,,,SOUAKEN,,,,,,,,,,,
,,,,,,,,SOUK TOLBA,,,,,,,,,,,
,,,,,,,,TAZROUT,,,,,,,,,,,
,,,,,,,,ZAAROURA,,,,,,,,,,,
,,,,,,,,ZOUADA,,,,,,,,,,,
,,,,,,,,AGHROUD,,,,,,,,,,,
,,,,,,,,ALMA,,,,,,,,,,,
,,,,,,,,AMSEKROUD,,,,,,,,,,,
,,,,,,,,AQSRI,,,,,,,,,,,
,,,,,,,,ASAKA,,,,,,,,,,,
,,,,,,,,TNINE LAGHIATE,,,,,,,,,,,
,,,,,,,,MOUL EL BERGUI,,,,,,,,,,,
,,,,,,,,KHEMIS NGA,,,,,,,,,,,
,,,,,,,,JDOUR,,,,,,,,,,,
,,,,,,,,SIDI CHIKER,,,,,,,,,,,
,,,,,,,,IGHOUD,,,,,,,,,,,
,,,,,,,,SIDI AISSA,,,,,,,,,,,
,,,,,,,,EL GHIAT,,,,,,,,,,,
,,,,,,,,OULED ALLAL,,,,,,,,,,,
,,,,,,,,HAD TOUABET,,,,,,,,,,,
,,,,,,,,TEMSAMANE,,,,,,,,,,,
,,,,,,,,HAD MKHATI,,,,,,,,,,,
,,,,,,,,AZIAR,,,,,,,,,,,
,,,,,,,,IMIOUDDAR,,,,,,,,,,,
,,,,,,,,IMSOUANE,,,,,,,,,,,
